"id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at","vehicle_id","variant_id","color_id"
"238","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","15","10","34"
"210","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","11","27"
"211","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","11","28"
"212","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","11","20"
"213","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","11","4"
"214","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","11","7"
"215","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","11","15"
"216","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","12","27"
"217","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","12","28"
"218","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","12","20"
"219","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","12","4"
"220","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","12","7"
"221","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","12","15"
"58","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","13","4"
"59","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","13","7"
"60","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","13","36"
"61","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","13","19"
"62","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","13","34"
"63","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","13","27"
"70","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","13","34"
"71","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","13","19"
"72","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","13","20"
"73","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","13","24"
"74","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","13","39"
"75","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","13","17"
"76","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","13","27"
"84","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","34"
"85","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","19"
"86","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","22"
"87","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","27"
"88","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","30"
"89","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","1"
"90","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","32"
"91","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","13","9"
"100","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","13","23"
"101","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","13","34"
"102","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","13","9"
"103","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","13","19"
"104","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","13","35"
"105","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","13","10"
"106","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","13","32"
"121","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","13","34"
"123","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","13","14"
"124","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","13","33"
"125","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","13","13"
"126","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","13","11"
"127","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","13","37"
"52","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","14","4"
"53","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","14","7"
"54","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","14","36"
"55","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","14","19"
"56","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","14","34"
"57","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","14","27"
"107","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","15","23"
"108","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","15","34"
"109","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","15","9"
"110","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","15","19"
"111","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","15","35"
"112","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","15","10"
"113","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","15","32"
"222","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","16","27"
"223","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","16","28"
"224","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","16","20"
"225","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","16","4"
"226","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","16","7"
"227","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","16","15"
"228","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","17","27"
"229","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","17","28"
"230","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","17","20"
"231","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","17","4"
"232","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","17","5"
"233","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","17","16"
"234","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","18","5"
"235","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","18","8"
"236","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","18","16"
"122","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","17","20"
"140","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","19","20"
"141","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","19","28"
"142","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","19","27"
"143","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","19","29"
"144","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","19","6"
"160","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","19","20"
"161","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","19","28"
"162","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","19","27"
"163","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","19","29"
"164","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","19","6"
"184","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","19","17"
"185","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","19","27"
"186","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","19","20"
"187","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","19","28"
"188","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","19","29"
"189","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","19","31"
"190","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","19","2"
"77","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","20","34"
"1","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","11","10","37"
"2","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","12","10","34"
"3","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","12","10","26"
"4","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","10","34"
"5","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","10","37"
"6","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","10","14"
"7","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","10","18"
"8","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","10","4"
"19","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","10","13","34"
"20","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","10","13","11"
"21","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","10","13","20"
"22","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","10","13","38"
"23","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","10","13","7"
"24","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","10","13","37"
"31","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","18","13","34"
"32","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","18","13","19"
"33","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","18","13","3"
"34","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","18","13","12"
"35","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","18","13","14"
"36","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","18","13","37"
"37","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","13","34"
"38","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","13","19"
"39","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","13","27"
"40","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","13","6"
"41","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","13","25"
"42","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","20","34"
"43","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","20","19"
"44","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","20","27"
"45","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","20","6"
"46","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","20","25"
"78","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","20","19"
"79","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","20","20"
"80","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","20","24"
"81","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","20","39"
"82","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","20","17"
"83","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","16","20","27"
"92","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","34"
"93","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","19"
"94","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","22"
"95","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","27"
"96","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","30"
"97","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","1"
"98","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","32"
"99","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","6","20","9"
"114","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","23"
"115","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","34"
"116","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","9"
"117","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","19"
"118","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","35"
"240","1","1","\N","2016-11-24 16:35:27","2016-11-24 16:41:08","\N","4","20","35"
"9","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","7","34"
"10","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","7","37"
"11","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","7","18"
"12","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","7","4"
"13","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","8","34"
"14","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","8","37"
"15","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","8","20"
"16","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","8","39"
"17","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","8","18"
"18","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","1","8","4"
"25","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","7","1","37"
"26","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","7","1","34"
"27","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","7","1","19"
"28","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","7","2","34"
"29","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","7","2","37"
"30","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","7","2","19"
"241","1","1","\N","2016-11-24 16:36:30","2016-11-24 16:36:30","\N","4","8","35"
"135","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","4","20"
"136","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","4","28"
"137","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","4","27"
"138","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","4","29"
"139","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","4","6"
"145","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","3","20"
"146","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","3","28"
"147","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","3","27"
"148","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","3","29"
"149","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","14","3","6"
"150","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","9","20"
"151","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","9","28"
"152","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","9","27"
"153","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","9","29"
"154","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","9","6"
"155","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","4","20"
"156","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","4","28"
"157","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","4","27"
"158","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","4","29"
"159","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","4","6"
"165","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","3","20"
"166","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","3","28"
"167","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","3","27"
"168","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","3","29"
"169","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","13","3","6"
"170","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","9","17"
"171","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","9","27"
"172","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","9","20"
"173","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","9","28"
"174","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","9","29"
"175","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","9","31"
"176","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","9","2"
"177","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","4","17"
"178","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","4","27"
"179","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","4","20"
"180","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","4","28"
"181","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","4","29"
"182","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","4","31"
"183","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","4","2"
"191","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","17"
"192","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","27"
"193","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","20"
"194","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","28"
"195","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","29"
"196","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","31"
"197","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","2"
"198","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","27"
"199","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","28"
"200","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","20"
"201","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","4"
"202","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","7"
"203","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","15"
"204","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","27"
"205","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","28"
"206","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","20"
"207","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","4"
"208","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","7"
"209","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","15"
"239","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","9","10","21"
"237","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","15","10","37"
"119","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","10"
"120","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","32"
"128","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","34"
"129","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","37"
"130","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","33"
"131","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","14"
"132","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","20"
"133","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","13"
"134","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","11"
"47","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","34"
"48","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","19"
"49","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","27"
"50","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","6"
"51","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","25"
"64","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","4"
"65","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","7"
"66","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","36"
"67","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","19"
"68","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","34"
"69","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","27"
